local_path,description,room_type,wc,caption,tokens
images/home-office/home-office_00804.jpg,built-in desk dark wood floor study room with white walls,home-office,10,built in desk dark wood floor study room with white walls,"[1, 506, 1858, 1021, 964, 4154, 1440, 3607, 3160, 4147, 4120, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/kitchen/kitchen_04000.jpg,"A bright, kitchen with a spacious island, white cabinetry, and wood accents. Picture windows, a sliding door, and open shelving enhance the airy feel.",kitchen,24,a bright kitchen with a spacious island white cabinetry and wood accents picture windows a sliding door and open shelving enhance the airy feel,"[1, 7, 469, 2042, 4147, 7, 3476, 1938, 4120, 535, 137, 4154, 23, 2790, 4140, 7, 3416, 1091, 137, 2609, 3340, 1235, 3738, 81, 1367, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bathroom/bathroom_00373.jpg,"Alcove bathtub - master white tile ceramic tile, multicolored floor and single-sink alcove bathtub idea with recessed-panel cabinets, gray cabinets, a one-piece toilet, white walls, a drop-in sink, granite countertops, white countertops, a niche and a freestanding vanity",bathroom,38,alcove bathtub master white tile ceramic tile multicolored floor and single sink alcove bathtub idea with recessed panel cabinets gray cabinets a one piece toilet white walls a drop in sink granite countertops white countertops a niche and a freestanding vanity,"[1, 88, 314, 2324, 4120, 3782, 626, 3782, 2484, 1440, 137, 3385, 3386, 88, 314, 1833, 4147, 3011, 2699, 536, 1629, 536, 7, 2603, 2793, 3802, 4120, 4048, 7, 1131, 1858, 3386, 1621, 873, 4120, 873, 7, 2539, 137, 2]"
images/pool/poolroom_01230.jpg,: Ryan Gamma backyard concrete paver and rectangular aboveground hot tub remodel,pool,12,ryan gamma backyard concrete paver and rectangular aboveground hot tub remodel,"[1, 3186, 3, 265, 799, 2730, 137, 3020, 13, 1809, 3884, 3063, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/home-office/home-office_00715.jpg,Mark Woods 1960s built-in desk light wood floor study room with white walls,home-office,13,mark woods s built in desk light wood floor study room with white walls,"[1, 2309, 4156, 3188, 506, 1858, 1021, 2167, 4154, 1440, 3607, 3160, 4147, 4120, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/kitchen/kitchen_02080.jpg,"l-shaped dark wood floor and brown floor eat-in kitchen with white cabinets, white backsplash, stainless steel appliances, an island, a sink, marble countertops, porcelain backsplash and shaker cabinets",kitchen,28,l shaped dark wood floor and brown floor eat in kitchen with white cabinets white backsplash stainless steel appliances an island a sink marble countertops porcelain backsplash and shaker cabinets,"[1, 2065, 3318, 964, 4154, 1440, 137, 489, 1440, 1163, 1858, 2042, 4147, 4120, 536, 4120, 263, 3524, 3555, 174, 133, 1938, 7, 3386, 2303, 873, 2856, 263, 137, 3312, 536, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
images/living-room/living-room_03209.jpg,"Historical meets in this Lexington inn's 22 room update/remodel. Robin oversaw the project entirely, from interior architecture to choosing the butter knives in the Inn’s restaurant. Named twice to Travel + Leisure’s “Top 100 Hotels in the World”, the project’s standout interior design continue to help earn the Inn and its upscale restaurant international accolades. Photo credit:",living-room,57,historical meets in this lexington inn's room update remodel robin oversaw the project entirely from interior architecture to choosing the butter knives in the inn s restaurant named twice to travel leisure s top hotels in the world the project s standout interior design continue to help earn the inn and its upscale restaurant international accolades photo credit,"[1, 1782, 2368, 1858, 3759, 2160, 3, 3160, 3933, 3063, 3142, 3, 3738, 2922, 1253, 1506, 1922, 192, 3797, 680, 3738, 3, 3, 1858, 3738, 3, 3188, 3, 3, 3, 3797, 3856, 3, 3188, 3818, 3, 1858, 3738, 4167, 2]"
images/bedroom/bedroom_03991.jpg,"LLC,, GW Robinson Homes Bedroom - master carpeted bedroom with beige walls",bedroom,12,llc gw robinson homes bedroom master carpeted bedroom with beige walls,"[1, 2207, 3, 3143, 1797, 337, 2324, 585, 337, 4147, 345, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bathroom/bathroom_03757.jpg,"Patricia Burke 3/4 multicolored tile and mosaic tile white floor alcove shower design with an undermount sink, shaker cabinets, white cabinets, blue walls, blue countertops and a hinged shower door",bathroom,30,patricia burke multicolored tile and mosaic tile white floor alcove shower design with an undermount sink shaker cabinets white cabinets blue walls blue countertops and a hinged shower door,"[1, 3, 3, 2484, 3782, 137, 2457, 3782, 4120, 1440, 88, 3360, 1012, 4147, 133, 3912, 3386, 3312, 536, 4120, 536, 406, 4048, 406, 873, 137, 7, 1775, 3360, 1091, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/living-room/living-room_02807.jpg,"Taylor King 2815-03 Katherine sofa Living room - formal and open concept dark wood floor and brown floor living room with white walls, no fireplace, no tv and a tile fireplace",living-room,31,taylor king katherine sofa living room formal and open concept dark wood floor and brown floor living room with white walls no fireplace no tv and a tile fireplace,"[1, 3703, 2039, 3, 3437, 2204, 3160, 1471, 137, 2609, 798, 964, 4154, 1440, 137, 489, 1440, 2204, 3160, 4147, 4120, 4048, 2550, 1407, 2550, 3898, 137, 7, 3782, 1407, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/pool/poolroom_02372.jpg,Casey Dunn backyard concrete and rectangular pool,pool,7,casey dunn backyard concrete and rectangular pool,"[1, 600, 1141, 265, 799, 137, 3020, 2848, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bedroom/bedroom_01925.jpg,"Of the three guest bedrooms on the second floors, two have attached bathrooms, and all have spacious closets and plenty of windows. Country bedroom with beige walls",bedroom,27,of the three guest bedrooms on the second floors two have attached bathrooms and all have spacious closets and plenty of windows country bedroom with beige walls,"[1, 2583, 3738, 3770, 1656, 338, 2601, 3738, 3262, 1442, 3902, 1715, 236, 312, 137, 97, 1715, 3476, 721, 137, 2836, 2583, 4140, 874, 337, 4147, 345, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/home-office/home-office_01676.jpg,"home office furniture, led chandelier, custom wood veneer millwork & cabinetry and area rug. Photo + |",home-office,17,home office furniture led chandelier custom wood veneer millwork cabinetry and area rug photo,"[1, 1792, 2589, 1523, 2134, 637, 942, 4154, 3987, 2402, 535, 137, 198, 3181, 2779, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/home-office/home-office_01166.jpg,Blane Balouf freestanding desk dark wood floor study room with gray walls,home-office,12,blane balouf freestanding desk dark wood floor study room with gray walls,"[1, 3, 3, 1498, 1021, 964, 4154, 1440, 3607, 3160, 4147, 1629, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bedroom/bedroom_03694.jpg,Scott Pease elegant master carpeted bedroom with beige walls,bedroom,9,scott pease elegant master carpeted bedroom with beige walls,"[1, 3238, 2738, 1191, 2324, 585, 337, 4147, 345, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/home-office/home-office_01959.jpg,Hunter Douglas freestanding desk light wood floor study room with white walls,home-office,12,hunter douglas freestanding desk light wood floor study room with white walls,"[1, 1823, 1099, 1498, 1021, 2167, 4154, 1440, 3607, 3160, 4147, 4120, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bathroom/bathroom_01661.jpg,master blue tile and subway tile white floor alcove bathtub design with white cabinets,bathroom,14,master blue tile and subway tile white floor alcove bathtub design with white cabinets,"[1, 2324, 406, 3782, 137, 3621, 3782, 4120, 1440, 88, 314, 1012, 4147, 4120, 536, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/home-office/home-office_00413.jpg,"The floors are 5"" hickory. The trim is 7 1/4"" base. The paint color above the wainscoting is Rocky River SW 6215 from Sherwin Williams. The ceiling color is called Barcelona SW 7530.",home-office,33,the floors are hickory the trim is base the paint color above the wainscoting is rocky river sw from sherwin williams the ceiling color is called barcelona sw,"[1, 3738, 1442, 197, 1758, 3738, 3873, 1937, 298, 3738, 2685, 752, 12, 3738, 4037, 1937, 3145, 3135, 3660, 1506, 3343, 4134, 3738, 615, 752, 1937, 547, 3, 3660, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bathroom/bathroom_01518.jpg,"master white tile and ceramic tile marble floor, gray floor and double-sink bathroom with shaker cabinets, blue cabinets, a two-piece toilet, white walls, an undermount sink, marble countertops, gray countertops and a freestanding vanity",bathroom,34,master white tile and ceramic tile marble floor gray floor and double sink bathroom with shaker cabinets blue cabinets a two piece toilet white walls an undermount sink marble countertops gray countertops and a freestanding vanity,"[1, 2324, 4120, 3782, 137, 626, 3782, 2303, 1440, 1629, 1440, 137, 1095, 3386, 310, 4147, 3312, 536, 406, 536, 7, 3902, 2793, 3802, 4120, 4048, 133, 3912, 3386, 2303, 873, 1629, 873, 137, 7, 1498, 3972, 2, 0, 0]"
images/home-office/home-office_02308.jpg,Peter Christiansen Valli elegant freestanding desk study room with beige walls,home-office,11,peter christiansen valli elegant freestanding desk study room with beige walls,"[1, 2771, 3, 3, 1191, 1498, 1021, 3607, 3160, 4147, 345, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/living-room/living-room_00791.jpg,open concept medium tone wood floor and brown floor living room with white walls,living-room,14,open concept medium tone wood floor and brown floor living room with white walls,"[1, 2609, 798, 2365, 3809, 4154, 1440, 137, 489, 1440, 2204, 3160, 4147, 4120, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bedroom/bedroom_02757.jpg,Lisa Weatherbee bedroom with blue walls,bedroom,6,lisa weatherbee bedroom with blue walls,"[1, 2193, 3, 337, 4147, 406, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bathroom/bathroom_03487.jpg,"The master bathroom features a new wood vanity, round mirrors, white subway tile with dark grout, and patterned black and white floor tile. 3/4 gray tile and porcelain tile porcelain tile, black floor and double-sink bathroom with recessed-panel cabinets, medium tone wood cabinets, a two-piece toilet, gray walls, an undermount sink, quartz countertops, gray countertops and a freestanding vanity",bathroom,59,the master bathroom features a new wood vanity round mirrors white subway tile with dark grout and patterned black and white floor tile gray tile and porcelain tile porcelain tile black floor and double sink bathroom with recessed panel cabinets medium tone wood cabinets a two piece toilet gray walls an undermount sink quartz countertops gray countertops and a freestanding vanity,"[1, 3738, 2324, 310, 1365, 7, 2532, 4154, 3972, 3173, 2415, 4120, 3621, 3782, 4147, 964, 1653, 137, 2726, 389, 137, 4120, 1440, 3782, 1629, 3782, 137, 2856, 3782, 2856, 3782, 389, 1440, 137, 1095, 3386, 310, 4147, 3011, 2]"
images/bathroom/bathroom_03248.jpg,"A style master bath for a lovely couple on Harbour Island. Once a dark and drab space, now light and airy to go with their breathtaking ocean views!",bathroom,28,a style master bath for a lovely couple on harbour island once a dark and drab space now light and airy to go with their breathtaking ocean views,"[1, 7, 3610, 2324, 308, 1467, 7, 2242, 876, 2601, 3, 1938, 2602, 7, 964, 137, 1106, 3473, 2568, 2167, 137, 81, 3797, 1594, 4147, 3739, 457, 2581, 4011, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bedroom/bedroom_03704.jpg,Photo: Lisa Petrole master dark wood floor and brown floor bedroom with white walls and no fireplace,bedroom,17,photo lisa petrole master dark wood floor and brown floor bedroom with white walls and no fireplace,"[1, 2779, 2193, 2773, 2324, 964, 4154, 1440, 137, 489, 1440, 337, 4147, 4120, 4048, 137, 2550, 1407, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/kitchen/kitchen_00521.jpg,10’ beamed ceilings connect the main floor living spaces which includes a chef-style kitchen featuring a Thermador 48” range and 30” refrigerator and freezer columns that flank the wine cooler. The kitchen also features reeded white oak cabinetry and quartzite countertops which match the quartzite detail around the fireplace.,kitchen,49,beamed ceilings connect the main floor living spaces which includes a chef style kitchen featuring a thermador range and refrigerator and freezer columns that flank the wine cooler the kitchen also features reeded white oak cabinetry and quartzite countertops which match the quartzite detail around the fireplace,"[1, 325, 616, 804, 3738, 2272, 1440, 2204, 3475, 4116, 1864, 7, 659, 3610, 2042, 1366, 7, 3747, 2987, 137, 3043, 137, 1499, 760, 3736, 1425, 3738, 4141, 847, 3738, 2042, 112, 1365, 3029, 4120, 2576, 535, 137, 2956, 2]"
images/bedroom/bedroom_01345.jpg,1950s guest carpeted and gray floor bedroom with black walls,bedroom,10,s guest carpeted and gray floor bedroom with black walls,"[1, 3188, 1656, 585, 137, 1629, 1440, 337, 4147, 389, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/living-room/living-room_00574.jpg,"Jared Medley open concept medium tone wood floor and brown floor living room with beige walls, a standard fireplace and a wood fireplace surround",living-room,24,jared medley open concept medium tone wood floor and brown floor living room with beige walls a standard fireplace and a wood fireplace surround,"[1, 1965, 3, 2609, 798, 2365, 3809, 4154, 1440, 137, 489, 1440, 2204, 3160, 4147, 345, 4048, 7, 3531, 1407, 137, 7, 4154, 1407, 3652, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/home-office/home-office_02589.jpg,medium tone wood floor and brown floor home office library remodel with brown walls,home-office,14,medium tone wood floor and brown floor home office library remodel with brown walls,"[1, 2365, 3809, 4154, 1440, 137, 489, 1440, 1792, 2589, 2161, 3063, 4147, 489, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/pool/poolroom_01964.jpg,backyard tile and rectangular lap pool,pool,6,backyard tile and rectangular lap pool,"[1, 265, 3782, 137, 3020, 2095, 2848, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/pool/poolroom_02913.jpg,Antonio Chaves rectangular pool with decking,pool,6,antonio chaves rectangular pool with decking,"[1, 161, 3, 3020, 2848, 4147, 982, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/living-room/living-room_01632.jpg,"formal and open concept medium tone wood floor and beige floor living room with beige walls, a standard fireplace, a stone fireplace and no tv",living-room,25,formal and open concept medium tone wood floor and beige floor living room with beige walls a standard fireplace a stone fireplace and no tv,"[1, 1471, 137, 2609, 798, 2365, 3809, 4154, 1440, 137, 345, 1440, 2204, 3160, 4147, 345, 4048, 7, 3531, 1407, 7, 3571, 1407, 137, 2550, 3898, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/kitchen/kitchen_02884.jpg,"cottage single-wall brown floor and medium tone wood floor open concept kitchen with an undermount sink, white cabinets, quartz countertops, white backsplash, subway tile backsplash, stainless steel appliances, an island and shaker cabinets",kitchen,33,cottage single wall brown floor and medium tone wood floor open concept kitchen with an undermount sink white cabinets quartz countertops white backsplash subway tile backsplash stainless steel appliances an island and shaker cabinets,"[1, 864, 3385, 4044, 489, 1440, 137, 2365, 3809, 4154, 1440, 2609, 798, 2042, 4147, 133, 3912, 3386, 4120, 536, 2955, 873, 4120, 263, 3621, 3782, 263, 3524, 3555, 174, 133, 1938, 137, 3312, 536, 2, 0, 0, 0, 0]"
images/bedroom/bedroom_00181.jpg,master dark wood floor and brown floor bedroom with gray walls and no fireplace,bedroom,14,master dark wood floor and brown floor bedroom with gray walls and no fireplace,"[1, 2324, 964, 4154, 1440, 137, 489, 1440, 337, 4147, 1629, 4048, 137, 2550, 1407, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bathroom/bathroom_03846.jpg,"master gray tile and porcelain tile porcelain tile and brown floor bathroom with shaker cabinets, white cabinets, gray walls, a drop-in sink, quartz countertops and gray countertops",bathroom,27,master gray tile and porcelain tile porcelain tile and brown floor bathroom with shaker cabinets white cabinets gray walls a drop in sink quartz countertops and gray countertops,"[1, 2324, 1629, 3782, 137, 2856, 3782, 2856, 3782, 137, 489, 1440, 310, 4147, 3312, 536, 4120, 536, 1629, 4048, 7, 1131, 1858, 3386, 2955, 873, 137, 1629, 873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/kitchen/kitchen_02577.jpg,"Take a look at your kitchen cabinets. Do they extend all the way up to the ceiling? Ceiling height cabinets are great for multiple reasons, but here’s why our design experts recommend them: ✓ Add more storage space ✓ Give a custom, high end look ✓ Allow for more cabinet door options Learn more about how you can incorporate ceiling height cabinets into your home by clicking the link in our bio!",kitchen,72,take a look at your kitchen cabinets do they extend all the way up to the ceiling ceiling height cabinets are great for multiple reasons but here s why our design experts recommend them add more storage space give a custom high end look allow for more cabinet door options learn more about how you can incorporate ceiling height cabinets into your home by clicking the link in our bio,"[1, 3684, 7, 2225, 230, 4192, 2042, 536, 1078, 3750, 1318, 97, 3738, 4075, 3932, 3797, 3738, 615, 615, 1734, 536, 197, 1631, 1467, 2486, 3, 518, 1746, 3188, 4126, 2643, 1012, 3, 3, 3740, 48, 2452, 3578, 3473, 2]"
images/living-room/living-room_03755.jpg,open concept medium tone wood floor and beige floor living room with white walls and no tv,living-room,17,open concept medium tone wood floor and beige floor living room with white walls and no tv,"[1, 2609, 798, 2365, 3809, 4154, 1440, 137, 345, 1440, 2204, 3160, 4147, 4120, 4048, 137, 2550, 3898, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bathroom/bathroom_03345.jpg,"custom shower at bright and white secondary bafheoom Bathroom - 3/4 gray tile and ceramic tile porcelain tile, white floor and single-sink bathroom with flat-panel cabinets, gray cabinets, a one-piece toilet, white walls, an undermount sink, quartz countertops, white countertops, a niche and a floating vanity",bathroom,46,custom shower at bright and white secondary bafheoom bathroom gray tile and ceramic tile porcelain tile white floor and single sink bathroom with flat panel cabinets gray cabinets a one piece toilet white walls an undermount sink quartz countertops white countertops a niche and a floating vanity,"[1, 942, 3360, 230, 469, 137, 4120, 3263, 3, 310, 1629, 3782, 137, 626, 3782, 2856, 3782, 4120, 1440, 137, 3385, 3386, 310, 4147, 1429, 2699, 536, 1629, 536, 7, 2603, 2793, 3802, 4120, 4048, 133, 3912, 3386, 2955, 2]"
images/kitchen/kitchen_00012.jpg,"Featured by Interior Design Magazine, the rift sawn white oak cabinetry stained dark gray anchor this open New York City loft kitchen by Meshberg Group. Handpicked gray and white quartzite slab countertop, backsplash and waterfall kitchen island provide a stunning workspace. Subzero and Wolf appliances, an architectural slot grill throughout finish off this highly functional urban home chef's kitchen.",kitchen,59,featured by interior design magazine the rift sawn white oak cabinetry stained dark gray anchor this open new york city loft kitchen by meshberg group handpicked gray and white quartzite slab countertop backsplash and waterfall kitchen island provide a stunning workspace subzero and wolf appliances an architectural slot grill throughout finish off this highly functional urban home chef's kitchen,"[1, 1364, 527, 1922, 1012, 2266, 3738, 3128, 3219, 4120, 2576, 535, 3523, 964, 1629, 134, 3759, 2609, 2532, 4188, 694, 2219, 2042, 527, 3, 1652, 3, 1629, 137, 4120, 2956, 3404, 872, 263, 137, 4065, 2042, 1938, 2929, 2]"
images/living-room/living-room_03049.jpg,"formal and enclosed white floor living room with beige walls, no fireplace and no tv",living-room,15,formal and enclosed white floor living room with beige walls no fireplace and no tv,"[1, 1471, 137, 1226, 4120, 1440, 2204, 3160, 4147, 345, 4048, 2550, 1407, 137, 2550, 3898, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/living-room/living-room_02432.jpg,"formal and open concept dark wood floor and brown floor living room with gray walls, a standard fireplace, a tile fireplace and no tv",living-room,24,formal and open concept dark wood floor and brown floor living room with gray walls a standard fireplace a tile fireplace and no tv,"[1, 1471, 137, 2609, 798, 964, 4154, 1440, 137, 489, 1440, 2204, 3160, 4147, 1629, 4048, 7, 3531, 1407, 7, 3782, 1407, 137, 2550, 3898, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bedroom/bedroom_00620.jpg,country carpeted bedroom with gray walls,bedroom,6,country carpeted bedroom with gray walls,"[1, 874, 585, 337, 4147, 1629, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/living-room/living-room_00541.jpg,"formal and enclosed dark wood floor and brown floor living room with brown walls, a standard fireplace, a tile fireplace and no tv",living-room,23,formal and enclosed dark wood floor and brown floor living room with brown walls a standard fireplace a tile fireplace and no tv,"[1, 1471, 137, 1226, 964, 4154, 1440, 137, 489, 1440, 2204, 3160, 4147, 489, 4048, 7, 3531, 1407, 7, 3782, 1407, 137, 2550, 3898, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bedroom/bedroom_01983.jpg,"master light wood floor, wallpaper and beige floor bedroom with multicolored walls",bedroom,12,master light wood floor wallpaper and beige floor bedroom with multicolored walls,"[1, 2324, 2167, 4154, 1440, 4046, 137, 345, 1440, 337, 4147, 2484, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
